"fpkm.long","genes","age"
5.34817718287902,"Scg2","P7"
0.0678762615169305,"Ap1s3","P7"
10.8682512373007,"Wdfy1","P7"
10.7581801421389,"Mrpl44","P7"
302.889221423425,"Serpine2","P7"
0.614615694896429,"Fam124b","P7"
41.2252544287881,"Cul3","P7"
4.9655353171422,"Dock10","P7"
0.698065197934671,"Nyap2","P7"
5.44344592326586,"Irs1","P7"
3.42254491711261,"Rhbdd1","P7"
0.68216071562755,"Col4a4","P7"
0.319288820292955,"Col4a3","P7"
64.0580768165158,"Mff","P7"
16.1205457220044,"Agfg1","P7"
1.47526005024256,"Slc19a3","P7"
0.484755000529266,"Daw1","P7"
4.18260165361186,"Sphkap","P7"
21.2032885047313,"Pid1","P7"
54.5925244411916,"Dner","P7"
20.4690201992646,"Trip12","P7"
1.93940671604836,"Fbxo36","P7"
1.40797567891452,"Slc16a14","P7"
0.439819352391923,"Sp110","P7"
0.530822903266941,"Sp140","P7"
0.481573652687982,"Sp100","P7"
0.471161989616523,"A630001G21Rik","P7"
31.9093282303949,"Cab39","P7"
124.576920727097,"Itm2c","P7"
3.93983383034844,"4933407L21Rik","P7"
0.561465094786522,"Gpr55","P7"
1.16625845140631,"Spata3","P7"
29.1515125724456,"2810459M11Rik","P7"
49.2011486872896,"Psmd1","P7"
0.422738866065339,"Htr2b","P7"
3.13355170746048,"Armc9","P7"
0.931622635300876,"B3gnt7","P7"
40.7389437937109,"Ncl","P7"
0.447980203942899,"C130036L24Rik","P7"
181.357624952776,"Ptma","P7"
43.1880271309121,"Pde6d","P7"
12.0489348132233,"Cops7b","P7"
0.99530302457363,"Nppc","P7"
7.34670585530117,"Dis3l2","P7"
0.587840769850058,"Ecel1","P7"
0.433554915922202,"Prss56","P7"
14.630495632537,"Eif4e2","P7"
24.7046477728575,"Efhd1","P7"
14.6074972173254,"Gigyf2","P7"
0.501770563375359,"Kcnj13","P7"
0.761573578902263,"3110079O15Rik","P7"
31.0423143515833,"Ngef","P7"
0.1847135491677,"Neu2","P7"
3.45864260512,"Inpp5d","P7"
11.4276372671711,"Atg16l1","P7"
1.2621727683465,"Scarna6","P7"
0.329597047238972,"Sag","P7"
16.5622634375563,"Dgkd","P7"
7.88373785003424,"Usp40","P7"
0.382488772028415,"Ugt1a7c","P7"
0.420240940776025,"Ugt1a6a","P7"
1.40130099105853,"Dnajb3","P7"
1.85112846344283,"Hjurp","P7"
30.218016298815,"Arl4c","P7"
17.6829153069375,"Sh3bp4","P7"
20.4362219471793,"Agap1","P7"
0.108180501604331,"4933400F21Rik","P7"
0.259196647134362,"Iqca","P7"
3.52208745611364,"Ackr3","P7"
32.1553008687858,"Cops8","P7"
0.658704169111226,"Col6a3","P7"
0.190740545682174,"Mlph","P7"
6.83841944296227,"Lrrfip1","P7"
18.7445514088001,"Ramp1","P7"
12.4124471385658,"Ube2f","P7"
5.50927071540515,"Scly","P7"
0.0305054015297237,"Espnl","P7"
0.15627047231778,"Fam132b","P7"
31.0561010885364,"Ilkap","P7"
31.013037226196,"Hes6","P7"
5.13326327665957,"Per2","P7"
6.08550529392337,"Traf3ip1","P7"
8.18716858310864,"Asb1","P7"
0.12935044907074,"Twist2","P7"
4.8847112880213,"Hdac4","P7"
69.9548571793177,"Ndufa10","P7"
50.2978731559564,"Myeov2","P7"
30.9172757584289,"Gpc1","P7"
2.98224287807404,"Dusp28","P7"
16.6876110272066,"Rnpepl1","P7"
0.192646697887956,"9430060I03Rik","P7"
9.25412425354137,"Capn10","P7"
0.0814139466666307,"Gpr35","P7"
203.610749639433,"Kif1a","P7"
1.65608451535081,"Sned1","P7"
4.69394929327036,"Mterf4","P7"
2.91474970887722,"Pask","P7"
12.3435755888985,"Ppp1r7","P7"
34.7001143495599,"Hdlbp","P7"
84.4762551266212,"Sept2","P7"
2.39916687428134,"Farp2","P7"
38.1416368714523,"Stk25","P7"
14.342415625116,"Bok","P7"
8.20972969921489,"Thap4","P7"
14.8290030422776,"Atg4b","P7"
28.5063807060247,"Dtymk","P7"
3.14050841143378,"Ing5","P7"
4.83219302286745,"D2hgdh","P7"
1.51854527510933,"Neu4","P7"
6.64225115027447,"Fam174a","P7"
3.83416830654064,"St8sia4","P7"
0.0465749446703025,"Slco4c1","P7"
0.210375409267513,"Panct2","P7"
10.8221418583852,"D1Ertd622e","P7"
5.45695747675347,"Ppip5k2","P7"
4.01560439126178,"Gin1","P7"
28.6231695586773,"Pam","P7"
0.902579086095361,"B230216N24Rik","P7"
2.59655713018622,"Cntnap5b","P7"
19.8902578561118,"Cdh20","P7"
2.31762888852567,"Rnf152","P7"
6.12817796173242,"Pign","P7"
8.88041274151639,"2310035C23Rik","P7"
0.792522282773864,"Tnfrsf11a","P7"
4.39785326830228,"Zcchc2","P7"
0.897829497471372,"Gm20753","P7"
27.7445080291531,"Phlpp1","P7"
10.5078954966298,"Bcl2","P7"
6.5970602729086,"Kdsr","P7"
8.55784174070091,"Vps4b","P7"
0.601212145232352,"Serpinb8","P7"
0.603987228322277,"Cdh7","P7"
0.511559142310405,"Cdh19","P7"
2.92944830889096,"Dsel","P7"
0.802201722695679,"Cntnap5a","P7"
42.6062516864024,"Tsn","P7"
18.1650468184824,"Nifk","P7"
21.9609899442928,"Clasp1","P7"
0.184263200980786,"Tfcp2l1","P7"
7.22336199154288,"Gli2","P7"
9.29003187634562,"Inhbb","P7"
22.9154197661793,"Ralb","P7"
3.88079483063906,"Tmem185b","P7"
5.71876685206478,"Epb4.1l5","P7"
8.30663633343543,"Ptpn4","P7"
3.49930621831836,"Tmem177","P7"
2.81912859440271,"Sctr","P7"
1.51988726539631,"Tmem37","P7"
665.189243828341,"Dbi","P7"
1.21152166430876,"3110009E18Rik","P7"
8.52204892592711,"Steap3","P7"
0.510307049002022,"C1ql2","P7"
9.94540262527278,"Celrr","P7"
8.66326200444351,"Insig2","P7"
6.29580149084574,"Ccdc93","P7"
0.222230902659209,"Htr5b","P7"
3.65365719593342,"Ddx18","P7"
4.32125628872194,"Dpp10","P7"
23.5081674472116,"Actr3","P7"
13.4854896694707,"Slc35f5","P7"
3.05551118229297,"Lypd1","P7"
5.87175191091905,"Nckap5","P7"
11.9906637495866,"Mgat5","P7"
4.47260299567646,"Tmem163","P7"
1.72466818709194,"2900009J06Rik","P7"
17.9948996874675,"Ccnt2","P7"
2.49052576576798,"Map3k19","P7"
8.40666901935248,"Rab3gap1","P7"
3.26850104078472,"Zranb3","P7"
21.653428771518,"R3hdm1","P7"
26.0203053739807,"Ubxn4","P7"
0.229965142209792,"Lct","P7"
26.350102556383,"Mcm6","P7"
35.927959181865,"Dars","P7"
13.7853676838295,"Cxcr4","P7"
1.84401061168339,"Thsd7b","P7"
0.586490893261475,"Cd55","P7"
0.168293242186131,"C4bp-ps1","P7"
7.91111897233822,"Pfkfb2","P7"
2.97156857731998,"Yod1","P7"
1.1781476434434,"AA986860","P7"
28.6392885626892,"Mapkapk2","P7"
3.52043080678515,"Dyrk3","P7"
11.6580135743356,"Eif2d","P7"
1.25439405168835,"Rassf5","P7"
0.905688529204767,"Ikbke","P7"
20.1625841751522,"Srgap2","P7"
1.20198644803644,"Fam72a","P7"
1.47119350716623,"Rab7b","P7"
0.986036792409367,"Pm20d1","P7"
27.0991921556332,"Slc41a1","P7"
7.65195771352717,"Rab29","P7"
33.6362666287369,"Nucks1","P7"
0.0566277950992337,"Slc45a3","P7"
8.82215917331653,"Elk4","P7"
3.81821891971382,"Mfsd4","P7"
0.732453736479063,"Cdk18","P7"
0.217703499681372,"Lemd1","P7"
1.35526787118831,"Klhdc8a","P7"
0.928042873048674,"Nuak2","P7"
33.0922253880925,"Tmcc2","P7"
7.743069105344,"Dstyk","P7"
9.13630053994873,"Rbbp5","P7"
2.66884900033312,"Tmem81","P7"
2.73981520264865,"Cntn2","P7"
12.1317601938801,"Nfasc","P7"
19.1431374582152,"Lrrn2","P7"
21.5853997175978,"Mdm4","P7"
3.19989509970269,"Pik3c2b","P7"
24.7667205697887,"Ppp1r15b","P7"
2.36343074598376,"Plekha6","P7"
0.0972170283579808,"Gm19461","P7"
0.05869548479361,"Golt1a","P7"
0.661188147067773,"Etnk2","P7"
