X,P7FPKM,P14FPKM,P21FPKM,P150FPKM
Aldoart2,7.55908744033523,12.4621082844696,17.362443924628,16.3934455089419
Insm2,0.221783551372367,0.225438012052649,0.265829191477407,0.420223887083997
Ralgapa1,11.3899157241034,11.6623673966009,9.63982198219144,11.2226833537907
Brms1l,20.9392091795958,17.7735260817229,17.4335516446462,21.5217614221903
Mbip,10.9988702827227,8.11756237453426,7.04079569278596,9.57882206499579
Slc25a21,0.479168581521541,0.821880571199537,0.748171559567576,0.590555667080356
Prps1l3,10.7988076357536,7.28672607739879,7.18985917519556,6.18340531586885
Mipol1,2.80269989104711,2.86532487351944,2.62655460395324,2.71499210067802
Sstr1,5.61417862388143,7.83826512237124,7.08809104761457,5.22925650814447
Clec14a,1.28856910485764,2.02464887702933,1.57614335162961,0.842979528813237
Sec23a,29.9092033345628,27.1561771850822,24.2289495839491,20.2184404768075
Gemin2,5.79112124048658,3.80097807443602,3.66927182356751,3.96075712874628
Trappc6b,9.62965106982572,13.9367022732219,18.0978260506746,18.9111505202451
Pnn,48.0346194748793,38.8682338981826,31.1846732115516,51.8262841025093
Ctage5,10.2222991419052,9.20893730422918,9.72259214377275,10.962803188827
Fbxo33,5.23412674461585,6.47626473186568,9.41360141616068,16.9904716786399
Gm20063,0.493869910942264,0.889647465912837,2.00895264825557,3.80476272808197
Lrfn5,2.93246897386118,4.11223898262711,3.44140487580757,3.37609158115873
Gm527,1.48519034932136,1.3647600933211,1.79675407803199,2.63320589961748
Klhl28,5.71132162224058,4.34449707844809,3.83485871207436,4.37808938995143
Fam179b,4.9956997816502,5.48625313137295,5.32802716938105,5.72734074383228
Prpf39,16.476642486967,10.9146025771756,8.185976158709,10.917820081705
Fkbp3,52.5926949481215,41.7565769819522,44.3155981082602,45.6118867213071
Fancm,3.41637425709554,2.03901645400293,1.76714343754107,1.63438710174814
Mis18bp1,4.99542382233848,0.885909123881011,0.371244460430713,0.152769771883029
Wdr20rt,1.01627241816772,0.754687296185107,0.817178880036619,0.812661326984468
Mdga2,7.51299054529755,7.32131340379815,7.23072218610774,8.54233859103652
Rps29,89.0131758617873,125.526536794218,164.663674485312,209.83636375165
Lrr1,1.913034408774,0.236079273880312,0.0834720370559254,0.129135277238653
Rpl36al,49.8169077571576,48.8458243645354,58.2784637524636,64.2512031478692
Mgat2,14.26457738227,10.4148884762949,8.70225215419104,7.52485147011759
